17:37:43.671 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
17:37:43.685 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:37:43.686 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
17:37:43.691 [localhost-startStop-1] INFO  o.a.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_144\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Java\jre1.8.0_151\bin;C:\Program Files\Java\jre1.8.0_151\jre\bin;E:\apache-tomcat-7.0.65\lib;E:\apache-tomcat-7.0.65\bin;C:\Program Files\nodejs\;C:\Windows\system32;E:\apache-maven-3.5.0\bin;D:\gradle-4.6\bin ;D:\zookeeper-3.3.6/bin;D:\zookeeper-3.3.6/conf;C:\Users\Administrator\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\Administrator\AppData\Local\Programs\Python\Python36\;C:\Users\Administrator\AppData\Roaming\npm;.]
17:37:43.838 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:37:44.904 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
17:40:02.909 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.10.Final
17:40:04.204 [main] INFO  o.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
17:40:04.216 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:40:04.216 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
17:40:04.222 [localhost-startStop-1] INFO  o.a.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_144\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Java\jre1.8.0_151\bin;C:\Program Files\Java\jre1.8.0_151\jre\bin;E:\apache-tomcat-7.0.65\lib;E:\apache-tomcat-7.0.65\bin;C:\Program Files\nodejs\;C:\Windows\system32;E:\apache-maven-3.5.0\bin;D:\gradle-4.6\bin ;D:\zookeeper-3.3.6/bin;D:\zookeeper-3.3.6/conf;C:\Users\Administrator\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\Administrator\AppData\Local\Programs\Python\Python36\;C:\Users\Administrator\AppData\Roaming\npm;.]
17:40:04.351 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:40:05.438 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
17:43:09.498 [main] INFO  c.a.dubbo.common.logger.LoggerFactory - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
17:43:09.508 [main] INFO  c.j.s.SpringbootpracticApplication - Starting SpringbootpracticApplication on MS-20170521YPGW with PID 8144 (F:\workspace\parent\springbootpractic\target\classes started by Administrator in F:\workspace\parent)
17:43:09.524 [main] DEBUG c.j.s.SpringbootpracticApplication - Running with Spring Boot v1.5.2.RELEASE, Spring v4.3.7.RELEASE
17:43:09.524 [main] INFO  c.j.s.SpringbootpracticApplication - The following profiles are active: dev
17:43:09.575 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b84f475: startup date [Wed Jul 11 17:43:09 GMT+08:00 2018]; root of context hierarchy
17:43:09.805 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
17:43:10.499 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$450f26de] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:43:10.526 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$715d155b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:43:10.566 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration$EmbeddedTomcat' of type [org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration$EmbeddedTomcat$$EnhancerBySpringCGLIB$$24e05877] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:43:10.596 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.websocket.WebSocketAutoConfiguration$TomcatWebSocketConfiguration' of type [org.springframework.boot.autoconfigure.websocket.WebSocketAutoConfiguration$TomcatWebSocketConfiguration$$EnhancerBySpringCGLIB$$a02f9584] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
